id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
39884,CA-0238,closed,Minaki Airport,49.96666717529300,-94.69999694824220,,NA,CA,CA-ON,,no,,,,,,
39885,CA-0239,closed,Minto Airport,62.599998474121100,-136.86666870117200,,NA,CA,CA-YT,,no,,,,,,
39886,CA-0240,closed,Moh Creek Airport,50.53333282470700,-125.06666564941400,,NA,CA,CA-BC,,no,,,,,,
39887,CA-0241,closed,Moose Lake Airport,53.7062589637,-100.343971252,,NA,CA,CA-MB,,no,,YAD,CJB4,,,
39888,CA-0242,closed,Moose Valley Airport,56.733333587646500,-126.6500015258790,,NA,CA,CA-BC,,no,,,,,,
39889,CA-0243,closed,Mosque Airport,56.483333587646500,-127.53333282470700,,NA,CA,CA-BC,,no,,,,,,
39890,CA-0244,closed,Mossbank Airport,49.91666793823240,-105.86666870117200,,NA,CA,CA-SK,,no,,,,,,
39893,CA-0247,closed,Mount Flett Airport,60.660459,-123.583188,,NA,CA,CA-NT,,no,,,BN6,,,
39894,CA-0248,closed,Mount Nansen Airport,62.016666412353500,-137.06666564941400,,NA,CA,CA-YT,,no,,,,,,
39896,CA-0250,closed,Mountain River Airport,65.681531,-128.826921,150,NA,CA,CA-NT,,no,,,EE2,,,
39897,CA-0251,closed,Muddy Lake Airport,58.20000076293950,-132.31666564941400,,NA,CA,CA-BC,,no,,,,,,
39898,CA-0252,closed,Murdochville Airport,48.95000076293950,-65.36666870117190,,NA,CA,CA-QC,,no,,,,,,
39899,CA-0253,closed,Muskegsagagen Lake Airport,51.38333511352540,-91.16666412353520,,NA,CA,CA-ON,,no,,,,,,
39901,CA-0255,closed,Namew Lake Airport,54.20000076293950,-102.05000305175800,,NA,CA,CA-SK,,no,,,,,,
39902,CA-0256,closed,Nanook Airport,57.13333511352540,-91.61666870117190,,NA,CA,CA-MB,,no,,,,,,
39903,CA-0257,closed,Nanton (Green Farms) Airport,50.38333511352540,-113.66666412353500,,NA,CA,CA-AB,,no,,,,,,
39905,CA-0259,closed,Nicholson Peninsula Airport,69.949996948242,-128.88333129883,,NA,CA,CA-NT,,no,CYUC,,,,,YUC
39906,CA-0260,closed,Nimpo Lake Airport,52.31666564941410,-125.23332977294900,,NA,CA,CA-BC,,no,,,,,,
39907,CA-0261,closed,Nipisi Airport,55.86666488647460,-115.16666412353500,,NA,CA,CA-AB,,no,,,,,,
39909,CA-0263,closed,Nokomis Airport,51.5,-104.96666717529300,,NA,CA,CA-SK,,no,,,,,,
39910,CA-0264,closed,Nordegg River Airport,52.71666717529300,-115.71666717529300,,NA,CA,CA-AB,,no,,,,,,
44454,CA-0265,closed,Eastmain Mine Airstrip,52.282493591308600,-72.06619262695310,,NA,CA,CA-QC,,no,,,,,,
39913,CA-0267,closed,Notikewin Airport,56.849998,-118.616669,2901,NA,CA,CA-AB,,no,,,FP5,,,
39914,CA-0268,closed,Obonga Airport,50.016666412353500,-89.31666564941410,,NA,CA,CA-ON,,no,,,,,,
39915,CA-0269,closed,Ogilvie Airport,65.3499984741211,-138.46665954589800,,NA,CA,CA-YT,,no,,,,,,
39917,CA-0271,closed,Oriskany Airport,47.483333587646500,-73.6500015258789,,NA,CA,CA-QC,,no,,,,,,
39918,CA-0272,closed,Otter Lakes Airport,56.70000076293950,-115.93333435058600,,NA,CA,CA-AB,,no,,,,,,
39919,CA-0273,closed,Panny Airport,57.20000076293950,-114.66666412353500,,NA,CA,CA-AB,,no,,,,,,
39920,CA-0274,closed,Paradise River Airport,53.43,-57.233333587646,,NA,CA,CA-NL,,no,,YDE,CDF 4.00,,,
39921,CA-0275,closed,Parrsboro Airport,45.41666793823240,-64.33333587646480,,NA,CA,CA-NS,,no,,,,,,
39922,CA-0276,closed,Parson Airport,51.08333206176760,-116.63333129882800,,NA,CA,CA-BC,,no,,,,,,
39923,CA-0277,closed,Paulson Airport,51.13333511352540,-99.86666870117190,,NA,CA,CA-MB,,no,,,,,,
39925,CA-0279,closed,Pearce Point Airport,69.80000305175780,-122.66666412353500,,NA,CA,CA-NT,,no,,,,,,
39926,CA-0280,closed,Pearce Airport,49.849998474121100,-113.25,,NA,CA,CA-AB,,no,,,,,,
39928,CA-0282,closed,Pelly Lake Airport,66.06666564941410,-101.08333587646500,,NA,CA,CA-NU,,no,,,,,,
39929,CA-0283,closed,Pennfield Ridge Airport,45.13333511352540,-66.68333435058590,,NA,CA,CA-NB,,no,,,,,,
39930,CA-0284,closed,Perrault Falls Airport,50.36666488647460,-93.11666870117190,,NA,CA,CA-ON,,no,,,,,,
39931,CA-0285,closed,Petrel Airport,49.96666717529300,-99.3499984741211,,NA,CA,CA-MB,,no,,,,,,
39932,CA-0286,closed,Petrolia Airport,42.883333,-82.116669,659,NA,CA,CA-ON,,no,,,PD5,,,
